uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
6292443105,2020-11-26T11:30:19Z,2020-11-26T11:31:48Z,Somewhat disagree,Agree,Somewhat agree,Agree,Disagree,Strongly agree,Disagree
ec952be578,2020-11-27T11:27:14Z,2020-11-27T11:27:47Z,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Agree
b835621afe,2020-11-26T14:23:02Z,2020-11-26T14:25:02Z,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree
3c77acee06,2020-11-26T11:21:46Z,2020-11-26T11:24:43Z,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree
92ef237278,2020-11-26T14:14:30Z,2020-11-26T14:15:52Z,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Disagree
b990042619,2020-11-26T09:18:15Z,2020-11-26T09:19:39Z,Somewhat agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Strongly agree
455e86c920,2020-11-27T14:13:37Z,2020-11-27T14:14:09Z,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
c0c288d8a3,2020-11-26T14:14:53Z,2020-11-26T14:15:46Z,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree
455c8db493,2020-11-27T11:11:47Z,2020-11-27T11:13:46Z,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Disagree,Strongly disagree
879d9de58d,2020-11-26T11:14:49Z,2020-11-26T11:17:21Z,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree
25e3cebb9e,2020-11-26T11:11:23Z,2020-11-26T11:12:49Z,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree
bbb836a4a8,2020-11-26T14:22:21Z,2020-11-26T14:23:33Z,Agree,Disagree,Disagree,Strongly agree,Somewhat agree,Disagree,Strongly agree
1654823600,2020-11-26T09:24:30Z,2020-11-26T09:25:17Z,Somewhat agree,Somewhat agree,Strongly agree,Agree,Disagree,Agree,Strongly agree
80cff3a78b,2020-11-26T11:02:26Z,2020-11-26T11:03:23Z,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,Disagree,Strongly agree
d7f029014a,2020-11-26T14:14:18Z,2020-11-26T14:14:59Z,Somewhat agree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly disagree,Agree
38a8142899,2020-11-27T09:14:36Z,2020-11-27T09:15:53Z,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Disagree,Agree
175f72c3ee,2020-11-27T12:34:10Z,2020-11-27T12:34:43Z,Strongly agree,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
82b9a31f8b,2020-11-26T09:31:12Z,2020-11-26T10:23:12Z,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Strongly agree
87cbc06116,2020-11-27T09:22:09Z,2020-11-27T09:23:56Z,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
de4a8fcf2a,2020-11-27T11:24:42Z,2020-11-27T11:25:14Z,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree
f4c1673354,2020-11-26T09:15:39Z,2020-11-26T09:17:16Z,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree
fc63dcf06d,2020-11-26T14:19:42Z,2020-11-26T14:21:25Z,Strongly agree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree
1e54183579,2020-11-27T11:14:09Z,2020-11-27T11:15:24Z,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Agree,Strongly agree
8ae9190823,2020-11-26T09:18:41Z,2020-11-26T09:19:36Z,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree
243c012b3f,2020-11-26T09:11:12Z,2020-11-26T09:15:00Z,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree
6574f6fdd2,2020-11-26T14:15:17Z,2020-11-26T14:16:52Z,Somewhat agree,Agree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree
5d4bcd90f1,2020-11-27T11:18:33Z,2020-11-27T11:21:11Z,Somewhat agree,Somewhat agree,Agree,Strongly agree,Disagree,Agree,Disagree
13416e1140,2020-11-26T11:12:40Z,2020-11-26T11:13:47Z,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
82f99a6b8e,2020-11-26T09:16:31Z,2020-11-26T09:18:05Z,Strongly agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Disagree
